species_code,common_name,scientific_name,class
nobird,No bird,No bird,0
human,Human,Human,1
grerhe1,Greater Rhea,Rhea americana,2
smbtin1,Small-billed Tinamou,Crypturellus parvirostris,3
tattin1,Tataupa Tinamou,Crypturellus tataupa,4
brutin1,Brushland Tinamou,Nothoprocta cinerascens,5
sponot1,Spotted Nothura,Nothura maculosa,6
elctin1,Elegant Crested-Tinamou,Eudromia elegans,7
quctin1,Quebracho Crested-Tinamou,Eudromia formosa,8
souscr1,Southern Screamer,Chauna torquata,9
wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,10
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,11
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,12
blnswa2,Black-necked Swan,Cygnus melancoryphus,13
cosswa1,Coscoroba Swan,Coscoroba coscoroba,14
comduc3,Comb Duck,Sarkidiornis sylvicola,15
origoo1,Orinoco Goose,Oressochen jubatus,16
musduc,Muscovy Duck,Cairina moschata,17
rintea1,Ringed Teal,Callonetta leucophrys,18
bratea1,Brazilian Teal,Amazonetta brasiliensis,19
siltea1,Silver Teal,Spatula versicolor,20
cintea,Cinnamon Teal,Spatula cyanoptera,21
redsho1,Red Shoveler,Spatula platalea,22
chiwig1,Chiloe Wigeon,Mareca sibilatrix,23
whcpin,White-cheeked Pintail,Anas bahamensis,24
yebpin1,Yellow-billed Pintail,Anas georgica,25
yebtea1,Yellow-billed Teal,Anas flavirostris,26
robpoc1,Rosy-billed Pochard,Netta peposaca,27
blhduc1,Black-headed Duck,Heteronetta atricapilla,28
masduc,Masked Duck,Nomonyx dominicus,29
lakduc1,Lake Duck,Oxyura vittata,30
chacha1,Chaco Chachalaca,Ortalis canicollis,31
chifla1,Chilean Flamingo,Phoenicopterus chilensis,32
andfla2,Andean Flamingo,Phoenicoparrus andinus,33
whtgre3,White-tufted Grebe,Rollandia rolland,34
leagre,Least Grebe,Tachybaptus dominicus,35
pibgre,Pied-billed Grebe,Podilymbus podiceps,36
gregre1,Great Grebe,Podiceps major,37
silgre1,Silvery Grebe,Podiceps occipitalis,38
rocpig,Rock Pigeon,Columba livia,39
pavpig2,Pale-vented Pigeon,Patagioenas cayennensis,40
picpig2,Picazuro Pigeon,Patagioenas picazuro,41
spwpig3,Spot-winged Pigeon,Patagioenas maculosa,42
rugdov,Ruddy Ground Dove,Columbina talpacoti,43
pigdov1,Picui Ground Dove,Columbina picui,44
blgdov1,Blue Ground Dove,Claravis pretiosa,45
whtdov,White-tipped Dove,Leptotila verreauxi,46
latdov1,Large-tailed Dove,Leptotila megalura,47
eardov1,Eared Dove,Zenaida auriculata,48
guicuc1,Guira Cuckoo,Guira guira,49
greani1,Greater Ani,Crotophaga major,50
smbani,Smooth-billed Ani,Crotophaga ani,51
strcuc1,Striped Cuckoo,Tapera naevia,52
asccuc1,Ash-colored Cuckoo,Coccycua cinerea,53
squcuc1,Squirrel Cuckoo,Piaya cayana,54
dabcuc1,Dark-billed Cuckoo,Coccyzus melacoryphus,55
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,56
nacnig1,Nacunda Nighthawk,Chordeiles nacunda,57
comnig,Common Nighthawk,Chordeiles minor,58
bawnig1,Band-winged Nightjar,Systellura longirostris,59
compau,Common Pauraque,Nyctidromus albicollis,60
litnig1,Little Nightjar,Setopagis parvula,61
sctnig2,Scissor-tailed Nightjar,Hydropsalis torquata,62
rufnig1,Rufous Nightjar,Antrostomus rufus,63
compot1,Common Potoo,Nyctibius griseus,64
rotswi1,Rothschild's Swift,Cypseloides rothschildi,65
whcswi,White-collared Swift,Streptoprocne zonaris,66
sicswi1,Sick's Swift,Chaetura meridionalis,67
retcom1,Red-tailed Comet,Sappho sparganurus,68
bltsta2,Blue-tufted Starthroat,Heliomaster furcifer,69
glbeme1,Glittering-bellied Emerald,Chlorostilbon lucidus,70
whbhum1,White-bellied Hummingbird,Amazilia chionogaster,71
gilhum1,Gilded Hummingbird,Hylocharis chrysura,72
astcra1,Ash-throated Crake,Mustelirallus albicollis,73
pabcra,Paint-billed Crake,Mustelirallus erythrops,74
sporai,Spotted Rail,Pardirallus maculatus,75
plurai1,Plumbeous Rail,Pardirallus sanguinolentus,76
giwrai1,Giant Wood-Rail,Aramides ypecaha,77
gycwor1,Gray-cowled Wood-Rail,Aramides cajaneus,78
spfgal1,Spot-flanked Gallinule,Porphyriops melanops,79
comgal1,Common Gallinule,Gallinula galeata,80
refcoo1,Red-fronted Coot,Fulica rufifrons,81
regcoo1,Red-gartered Coot,Fulica armillata,82
whwcoo1,White-winged Coot,Fulica leucoptera,83
purgal2,Purple Gallinule,Porphyrio martinica,84
ruscra1,Rufous-sided Crake,Laterallus melanophaius,85
limpki,Limpkin,Aramus guarauna,86
bknsti,Black-necked Stilt,Himantopus mexicanus,87
bkbplo,Black-bellied Plover,Pluvialis squatarola,88
amgplo,American Golden-Plover,Pluvialis dominica,89
tatdot1,Tawny-throated Dotterel,Oreopholus ruficollis,90
soulap1,Southern Lapwing,Vanellus chilensis,91
colplo1,Collared Plover,Charadrius collaris,92
semplo,Semipalmated Plover,Charadrius semipalmatus,93
leasee1,Least Seedsnipe,Thinocorus rumicivorus,94
soapas1,South American Painted-Snipe,Nycticryphes semicollaris,95
watjac1,Wattled Jacana,Jacana jacana,96
uplsan,Upland Sandpiper,Bartramia longicauda,97
hudgod,Hudsonian Godwit,Limosa haemastica,98
stisan,Stilt Sandpiper,Calidris himantopus,99
baisan,Baird's Sandpiper,Calidris bairdii,100
whrsan,White-rumped Sandpiper,Calidris fuscicollis,101
pecsan,Pectoral Sandpiper,Calidris melanotos,102
soasni1,South American Snipe,Gallinago paraguaiae,103
wilpha,Wilson's Phalarope,Phalaropus tricolor,104
sposan,Spotted Sandpiper,Actitis macularius,105
solsan,Solitary Sandpiper,Tringa solitaria,106
greyel,Greater Yellowlegs,Tringa melanoleuca,107
lesyel,Lesser Yellowlegs,Tringa flavipes,108
grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,109
labter1,Large-billed Tern,Phaetusa simplex,110
blkski,Black Skimmer,Rynchops niger,111
magsto1,Maguari Stork,Ciconia maguari,112
jabiru,Jabiru,Jabiru mycteria,113
woosto,Wood Stork,Mycteria americana,114
anhing,Anhinga,Anhinga anhinga,115
neocor,Neotropic Cormorant,Phalacrocorax brasilianus,116
pinbit1,Pinnated Bittern,Botaurus pinnatus,117
stbbit1,Stripe-backed Bittern,Ixobrychus involucris,118
ruther1,Rufescent Tiger-Heron,Tigrisoma lineatum,119
cocher1,Cocoi Heron,Ardea cocoi,120
greegr,Great Egret,Ardea alba,121
snoegr,Snowy Egret,Egretta thula,122
libher,Little Blue Heron,Egretta caerulea,123
categr,Cattle Egret,Bubulcus ibis,124
strher,Striated Heron,Butorides striata,125
whiher1,Whistling Heron,Syrigma sibilatrix,126
bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,127
whfibi,White-faced Ibis,Plegadis chihi,128
bafibi1,Bare-faced Ibis,Phimosus infuscatus,129
pluibi1,Plumbeous Ibis,Theristicus caerulescens,130
bunibi1,Buff-necked Ibis,Theristicus caudatus,131
rosspo1,Roseate Spoonbill,Platalea ajaja,132
blkvul,Black Vulture,Coragyps atratus,133
turvul,Turkey Vulture,Cathartes aura,134
lyhvul1,Lesser Yellow-headed Vulture,Cathartes burrovianus,135
osprey,Osprey,Pandion haliaetus,136
peakit1,Pearl Kite,Gampsonyx swainsonii,137
whtkit,White-tailed Kite,Elanus leucurus,138
hobkit,Hook-billed Kite,Chondrohierax uncinatus,139
swtkit,Swallow-tailed Kite,Elanoides forficatus,140
blchaw1,Black-collared Hawk,Busarellus nigricollis,141
snakit,Snail Kite,Rostrhamus sociabilis,142
miskit,Mississippi Kite,Ictinia mississippiensis,143
plukit1,Plumbeous Kite,Ictinia plumbea,144
cinhar1,Cinereous Harrier,Circus cinereus,145
shshaw,Sharp-shinned Hawk,Accipiter striatus,146
