"species_code","common_name","scientific_name","luomus_name","suomenkielinen_nimi","class"
"nobird","No bird","No bird",,"ei lintu",0
"human","Human","Human",,"ihminen",1
"lotduc","Long-tailed Duck","Clangula hyemalis","Clangula hyemalis","alli",2
"merlin","Merlin","Falco columbarius","Falco columbarius","ampuhaukka",3
"palhar1","Pallid Harrier","Circus macrourus","Circus macrourus","arosuohaukka",4
"commur","Common Murre","Uria aalge","Uria aalge","etelänkiisla",5
"rinphe","Ring-necked Pheasant","Phasianus colchicus","Phasianus colchicus","fasaani",6
"comeid","Common Eider","Somateria mollissima","Somateria mollissima","haahka",7
"eurwig","Eurasian Wigeon","Mareca penelope","Anas penelope","haapana",8
"blakit1","Black Kite","Milvus migrans","Milvus migrans","haarahaukka",9
"barswa","Barn Swallow","Hirundo rustica","Hirundo rustica","haarapääsky",10
"eurmag1","Eurasian Magpie","Pica pica","Pica pica","harakka",11
"hoopoe","Eurasian Hoopoe","Upupa epops","Upupa epops","harjalintu",12
"graher1","Gray Heron","Ardea cinerea","Ardea cinerea","harmaahaikara",13
"hergul","Herring Gull","Larus argentatus","Larus argentatus","harmaalokki",14
"gyfwoo1","Gray-headed Woodpecker","Picus canus","Picus canus","harmaapäätikka",15
"spofly1","Spotted Flycatcher","Muscicapa striata","Muscicapa striata","harmaasieppo",16
"gadwal","Gadwall","Mareca strepera","Anas strepera","harmaasorsa",17
"gresni1","Great Snipe","Gallinago media","Gallinago media","heinäkurppa",18
"gargan","Garganey","Spatula querquedula","Anas querquedula","heinätavi",19
"borowl","Boreal Owl","Aegolius funereus","Aegolius funereus","helmipöllö",20
"eurlin1","Eurasian Linnet","Linaria cannabina","Carduelis cannabina","hemppo",21
"leswhi4","Lesser Whitethroat","Sylvia curruca","Sylvia curruca","hernekerttu",22
"combuz1","Common Buzzard","Buteo buteo","Buteo buteo","hiirihaukka",23
"nohowl","Northern Hawk Owl","Surnia ulula","Surnia ulula","hiiripöllö",24
"goldcr1","Goldcrest","Regulus regulus","Regulus regulus","hippiäinen",25
"palwar5","Pallas's Leaf Warbler","Phylloscopus proregulus","Phylloscopus proregulus","hippiäisuunilintu",26
