species_code,common_name,scientific_name,class
nobird,No bird,No bird,0
human,Human,Human,1
wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,2
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,3
helgui,Helmeted Guineafowl,Numida meleagris,4
comqua1,Common Quail,Coturnix coturnix,5
matdov1,Madagascar Turtle-Dove,Streptopelia picturata,6
namdov1,Namaqua Dove,Oena capensis,7
madgrp1,Madagascar Green-Pigeon,Treron australis,8
rocpig,Rock Pigeon,Columba livia,9
whbmes2,White-breasted Mesite,Mesitornis variegatus,10
bromes1,Brown Mesite,Mesitornis unicolor,11
submes1,Subdesert Mesite,Monias benschi,12
madsan1,Madagascar Sandgrouse,Pterocles personatus,13
crecou1,Crested Coua,Coua cristata,14
blucou1,Blue Coua,Coua caerulea,15
reccou1,Red-capped Coua,Coua ruficeps,16
refcou1,Red-fronted Coua,Coua reynaudii,17
coqcou1,Coquerel's Coua,Coua coquereli,18
runcou1,Running Coua,Coua cursor,19
giacou1,Giant Coua,Coua gigas,20
rebcou1,Red-breasted Coua,Coua serriana,21
madcou1,Madagascar Coucal,Centropus toulou,22
madcuc1,Madagascar Cuckoo,Cuculus rochii,23
madnig1,Madagascar Nightjar,Caprimulgus madagascariensis,24
madwor1,Madagascar Wood-Rail,Mentrocrex kioloides,25
whtrai1,White-throated Rail,Dryolimnas cuvieri,26
allgal1,Allen's Gallinule,Porphyrio alleni,27
madibi1,Madagascar Ibis,Lophotibis cristata,28
hamerk1,Hamerkop,Scopus umbretta,29
maseag1,Madagascar Serpent-Eagle,Eutriorchis astur,30
fragos2,Frances's Sparrowhawk,Accipiter francesiae,31
madspa1,Madagascar Sparrowhawk,Accipiter madagascariensis,32
hengos1,Henst's Goshawk,Accipiter henstii,33
madbuz1,Madagascar Buzzard,Buteo brachypterus,34
brnowl,Barn Owl,Tyto alba,35
masowl1,Malagasy Scops-Owl,Otus rutilus,36
whbowl1,White-browed Owl,Athene superciliaris,37
mleowl1,Madagascar Owl,Asio madagascariensis,38
marowl2,Marsh Owl,Asio capensis,39
cuckoo1,Cuckoo-roller,Leptosomus discolor,40
madhoo1,Madagascar Hoopoe,Upupa marginata,41
mapkin1,Madagascar Pygmy-Kingfisher,Corythornis madagascariensis,42
mabeat1,Madagascar Bee-eater,Merops superciliosus,43
brbrol1,Broad-billed Roller,Eurystomus glaucurus,44
slgrol1,Short-legged Ground-Roller,Brachypteracias leptosomus,45
scagrr1,Scaly Ground-Roller,Brachypteracias squamiger,46
plgrol1,Pitta-like Ground-Roller,Atelornis pittoides,47
madkes1,Madagascar Kestrel,Falco newtoni,48
perfal,Peregrine Falcon,Falco peregrinus,49
vaspar1,Greater Vasa Parrot,Coracopsis vasa,50
blapar1,Lesser Vasa Parrot,Coracopsis nigra,51
gyhlov1,Gray-headed Lovebird,Agapornis canus,52
velasi1,Velvet Asity,Philepitta castanea,53
schasi1,Schlegel's Asity,Philepitta schlegeli,54
sunasi1,Common Sunbird-Asity,Neodrepanis coruscans,55
ashcus2,Madagascar Cuckooshrike,Coracina cinerea,56
arcnew1,Archbold's Newtonia,Newtonia archboldi,57
comnew1,Common Newtonia,Newtonia brunneicauda,58
darnew1,Dark Newtonia,Newtonia amphichroa,59
retnew1,Red-tailed Newtonia,Newtonia fanovanae,60
tylvan1,Tylas Vanga,Tylas eduardi,61
retvan1,Red-tailed Vanga,Calicalicus madagascariensis,62
resvan1,Red-shouldered Vanga,Calicalicus rufocarpalis,63
chavan2,Chabert Vanga,Leptopterus chabert,64
bluvan1,Blue Vanga,Cyanolanius madagascarinus,65
hobvan1,Hook-billed Vanga,Vanga curvirostris,66
warfly1,Ward's Flycatcher,Pseudobias wardi,67
rufvan1,Rufous Vanga,Schetba rufa,68
helvan1,Helmet Vanga,Euryceros prevostii,69
bervan1,Bernier's Vanga,Oriolia bernieri,70
sibvan1,Sickle-billed Vanga,Falculea palliata,71
whhvan1,White-headed Vanga,Artamella viridis,72
lafvan1,Lafresnaye's Vanga,Xenopirostris xenopirostris,73
vadvan1,Van Dam's Vanga,Xenopirostris damii,74
credro1,Crested Drongo,Dicrurus forficatus,75
mapfly1,Madagascar Paradise-Flycatcher,Terpsiphone mutata,76
piecro1,Pied Crow,Corvus albus,77
madlar1,Madagascar Lark,Eremopterix hova,78
comjer1,Common Jery,Neomixis tenella,79
grejer1,Green Jery,Neomixis viridis,80
sttjer1,Stripe-throated Jery,Neomixis striatigula,81
madbrw1,Madagascar Brush-Warbler,Nesillas typica,82
subbrw1,Subdesert Brush-Warbler,Nesillas lantzii,83
bretai1,Brown Emutail,Bradypterus brunneus,84
lobber1,Long-billed Bernieria,Bernieria madagascariensis,85
crywar1,Cryptic Warbler,Cryptosylvicola randrianasoloi,86
wetjer2,Wedge-tailed Jery,Hartertula flavoviridis,87
yeboxy1,Yellow-browed Oxylabes,Crossleyia xanthophrys,88
apptet1,Appert's Tetraka,Xanthomixis apperti,89
gyctet1,Gray-crowned Tetraka,Xanthomixis cinereiceps,90
ranwar1,Rand's Warbler,Randia pseudozosterops,91
madbul1,Madagascar Bulbul,Hypsipetes madagascariensis,92
madwhe1,Madagascar White-eye,Zosterops maderaspatanus,93
commyn,Common Myna,Acridotheres tristis,94
madsta1,Madagascar Starling,Hartlaubius auratus,95
mamrob1,Madagascar Magpie-Robin,Copsychus albospecularis,96
forrot2,Forest Rock-Thrush,Monticola sharpei,97
litrot1,Littoral Rock-Thrush,Monticola imerina,98
afrsto1,African Stonechat,Saxicola torquatus,99
sousun2,Souimanga Sunbird,Cinnyris sovimanga,100
madsun1,Madagascar Sunbird,Cinnyris notatus,101
nelwea1,Nelicourvi Weaver,Ploceus nelicourvi,102
sakwea1,Sakalava Weaver,Ploceus sakalava,103
redfod1,Red Fody,Foudia madagascariensis,104
forfod1,Forest Fody,Foudia omissa,105
madmun1,Madagascar Munia,Lonchura nana,106
madwag1,Madagascar Wagtail,Motacilla flaviventris,107
harqua1,Harlequin Quail,Coturnix delegorguei,108
mabpig1,Madagascar Blue-Pigeon,Alectroenas madagascariensis,109
vercou1,Verreaux's Coua,Coua verreauxi,110
alpswi1,Alpine Swift,Apus melba,111
afrswi1,African Swift,Apus barbatus,112
litswi1,Little Swift,Apus affinis,113
afpswi1,African Palm-Swift,Cypsiurus parvus,114
tsiwor1,Tsingy Wood-Rail,Mentrocrex beankaensis,115
madflu1,Madagascar Flufftail,Sarothrura insularis,116
madbut1,Madagascar Buttonquail,Turnix nigricollis,117
madrai1,Madagascar Rail,Rallus madagascariensis,118
mahhaw1,Madagascar Harrier-Hawk,Polyboroides radiatus,119
madcuh1,Madagascar Cuckoo-Hawk,Aviceda madagascariensis,120
reuhar3,Madagascar Harrier,Circus macrosceles,121
blakit1,Black Kite,Milvus migrans,122
marowl1,Red Owl,Tyto soumagnei,123
rhgrol1,Rufous-headed Ground-Roller,Atelornis crossleyi,124
ltgrol1,Long-tailed Ground-Roller,Uratelornis chimaera,125
bankes1,Banded Kestrel,Falco zoniventris,126
elefal1,Eleonora's Falcon,Falco eleonorae,127
soofal1,Sooty Falcon,Falco concolor,128
yebasi1,Yellow-bellied Sunbird-Asity,Neodrepanis hypoxantha,129
nuthat2,Nuthatch-Vanga,Hypositta corallirostris,130
crobab1,Crossley's Vanga,Mystacornis crossleyi,131
madcis2,Madagascar Cisticola,Cisticola cherina,132
whtoxy1,White-throated Oxylabes,Oxylabes madagascariensis,133
thamno2,Thamnornis,Thamnornis chloropetoides,134
spetet1,Spectacled Tetraka,Xanthomixis zosterops,135
masmar1,Mascarene Martin,Phedina borbonica,136
