"species_code","common_name","scientific_name","xc_common_name","xc_scientific_name"
"ostric2","Common Ostrich","Struthio camelus","Common Ostrich","Struthio camelus"
"ostric3","Somali Ostrich","Struthio molybdophanes","Somali Ostrich","Struthio molybdophanes"
"grerhe1","Greater Rhea","Rhea americana","Greater Rhea","Rhea americana"
"lesrhe2","Lesser Rhea","Rhea pennata","Lesser Rhea","Rhea pennata"
"tabtin1","Tawny-breasted Tinamou","Nothocercus julius","Tawny-breasted Tinamou","Nothocercus julius"
"higtin1","Highland Tinamou","Nothocercus bonapartei","Highland Tinamou","Nothocercus bonapartei"
"hootin1","Hooded Tinamou","Nothocercus nigrocapillus","Hooded Tinamou","Nothocercus nigrocapillus"
"grytin1","Gray Tinamou","Tinamus tao","Grey Tinamou","Tinamus tao"
"soltin1","Solitary Tinamou","Tinamus solitarius","Solitary Tinamou","Tinamus solitarius"
"blatin1","Black Tinamou","Tinamus osgoodi","Black Tinamou","Tinamus osgoodi"
"gretin1","Great Tinamou","Tinamus major","Great Tinamou","Tinamus major"
"whttin1","White-throated Tinamou","Tinamus guttatus","White-throated Tinamou","Tinamus guttatus"
"cintin1","Cinereous Tinamou","Crypturellus cinereus","Cinereous Tinamou","Crypturellus cinereus"
"bertin1","Berlepsch's Tinamou","Crypturellus berlepschi","Berlepsch's Tinamou","Crypturellus berlepschi"
"littin1","Little Tinamou","Crypturellus soui","Little Tinamou","Crypturellus soui"
"teptin1","Tepui Tinamou","Crypturellus ptaritepui","Tepui Tinamou","Crypturellus ptaritepui"
"brotin1","Brown Tinamou","Crypturellus obsoletus","Brown Tinamou","Crypturellus obsoletus"
"undtin1","Undulated Tinamou","Crypturellus undulatus","Undulated Tinamou","Crypturellus undulatus"
"pabtin1","Pale-browed Tinamou","Crypturellus transfasciatus","Pale-browed Tinamou","Crypturellus transfasciatus"
"bratin1","Brazilian Tinamou","Crypturellus strigulosus","Brazilian Tinamou","Crypturellus strigulosus"
"gyltin1","Gray-legged Tinamou","Crypturellus duidae","Grey-legged Tinamou","Crypturellus duidae"
"reltin1","Red-legged Tinamou","Crypturellus erythropus","Red-legged Tinamou","Crypturellus erythropus"
"yeltin1","Yellow-legged Tinamou","Crypturellus noctivagus","Yellow-legged Tinamou","Crypturellus noctivagus"
"blctin1","Black-capped Tinamou","Crypturellus atrocapillus","Black-capped Tinamou","Crypturellus atrocapillus"
"slbtin1","Slaty-breasted Tinamou","Crypturellus boucardi","Slaty-breasted Tinamou","Crypturellus boucardi"
"chotin1","Choco Tinamou","Crypturellus kerriae","Choco Tinamou","Crypturellus kerriae"
"vartin1","Variegated Tinamou","Crypturellus variegatus","Variegated Tinamou","Crypturellus variegatus"
"thitin1","Thicket Tinamou","Crypturellus cinnamomeus","Thicket Tinamou","Crypturellus cinnamomeus"
"rustin1","Rusty Tinamou","Crypturellus brevirostris","Rusty Tinamou","Crypturellus brevirostris"
"bartin2","Bartlett's Tinamou","Crypturellus bartletti","Bartlett's Tinamou","Crypturellus bartletti"
"smbtin1","Small-billed Tinamou","Crypturellus parvirostris","Small-billed Tinamou","Crypturellus parvirostris"
"bartin1","Barred Tinamou","Crypturellus casiquiare","Barred Tinamou","Crypturellus casiquiare"
"tattin1","Tataupa Tinamou","Crypturellus tataupa","Tataupa Tinamou","Crypturellus tataupa"
"rewtin1","Red-winged Tinamou","Rhynchotus rufescens","Red-winged Tinamou","Rhynchotus rufescens"
"huatin1","Huayco Tinamou","Rhynchotus maculicollis","Huayco Tinamou","Rhynchotus maculicollis"
"tactin1","Taczanowski's Tinamou","Nothoprocta taczanowskii","Taczanowski's Tinamou","Nothoprocta taczanowskii"
"orntin1","Ornate Tinamou","Nothoprocta ornata","Ornate Tinamou","Nothoprocta ornata"
"chitin1","Chilean Tinamou","Nothoprocta perdicaria","Chilean Tinamou","Nothoprocta perdicaria"
"brutin1","Brushland Tinamou","Nothoprocta cinerascens","Brushland Tinamou","Nothoprocta cinerascens"
"andtin1","Andean Tinamou","Nothoprocta pentlandii","Andean Tinamou","Nothoprocta pentlandii"
"cubtin1","Curve-billed Tinamou","Nothoprocta curvirostris","Curve-billed Tinamou","Nothoprocta curvirostris"
"whbnot1","White-bellied Nothura","Nothura boraquira","White-bellied Nothura","Nothura boraquira"
"lesnot1","Lesser Nothura","Nothura minor","Lesser Nothura","Nothura minor"
"darnot1","Darwin's Nothura","Nothura darwinii","Darwin's Nothura","Nothura darwinii"
"sponot1","Spotted Nothura","Nothura maculosa","Spotted Nothura","Nothura maculosa"
"dwatin1","Dwarf Tinamou","Taoniscus nanus","Dwarf Tinamou","Taoniscus nanus"
"elctin1","Elegant Crested-Tinamou","Eudromia elegans","Elegant Crested Tinamou","Eudromia elegans"
"quctin1","Quebracho Crested-Tinamou","Eudromia formosa","Quebracho Crested Tinamou","Eudromia formosa"
"puntin1","Puna Tinamou","Tinamotis pentlandii","Puna Tinamou","Tinamotis pentlandii"
"pattin1","Patagonian Tinamou","Tinamotis ingoufi","Patagonian Tinamou","Tinamotis ingoufi"
"soucas1","Southern Cassowary","Casuarius casuarius","Southern Cassowary","Casuarius casuarius"
"dwacas1","Dwarf Cassowary","Casuarius bennetti","Dwarf Cassowary","Casuarius bennetti"
"norcas1","Northern Cassowary","Casuarius unappendiculatus","Northern Cassowary","Casuarius unappendiculatus"
"emu1","Emu","Dromaius novaehollandiae","Emu","Dromaius novaehollandiae"
"sobkiw1","Southern Brown Kiwi","Apteryx australis","Southern Brown Kiwi","Apteryx australis"
"okbkiw1","Okarito Brown Kiwi","Apteryx rowi","Okarito Kiwi","Apteryx rowi"
"nibkiw1","North Island Brown Kiwi","Apteryx mantelli","North Island Brown Kiwi","Apteryx mantelli"
"liskiw1","Little Spotted Kiwi","Apteryx owenii","Little Spotted Kiwi","Apteryx owenii"
"grskiw1","Great Spotted Kiwi","Apteryx haastii","Great Spotted Kiwi","Apteryx haastii"
"horscr1","Horned Screamer","Anhima cornuta","Horned Screamer","Anhima cornuta"
"souscr1","Southern Screamer","Chauna torquata","Southern Screamer","Chauna torquata"
"norscr1","Northern Screamer","Chauna chavaria","Northern Screamer","Chauna chavaria"
"maggoo1","Magpie Goose","Anseranas semipalmata","Magpie Goose","Anseranas semipalmata"
"spwduc1","Spotted Whistling-Duck","Dendrocygna guttata","Spotted Whistling Duck","Dendrocygna guttata"
"plwduc1","Plumed Whistling-Duck","Dendrocygna eytoni","Plumed Whistling Duck","Dendrocygna eytoni"
"wfwduc1","White-faced Whistling-Duck","Dendrocygna viduata","White-faced Whistling Duck","Dendrocygna viduata"
"bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis","Black-bellied Whistling Duck","Dendrocygna autumnalis"
