Common name,Scientific name,No.,No. Back
Common Ostrich,Struthio camelus,38,0
Somali Ostrich,Struthio molybdophanes,1,0
Greater Rhea,Rhea americana,23,1
Lesser Rhea,Rhea pennata,4,0
Southern Brown Kiwi,Apteryx australis,3,0
North Island Brown Kiwi,Apteryx mantelli,21,0
Okarito Kiwi,Apteryx rowi,5,0
Little Spotted Kiwi,Apteryx owenii,6,0
Great Spotted Kiwi,Apteryx haastii,7,0
Southern Cassowary,Casuarius casuarius,20,0
Dwarf Cassowary,Casuarius bennetti,2,0
Northern Cassowary,Casuarius unappendiculatus,6,1
Emu,Dromaius novaehollandiae,19,1
Grey Tinamou,Tinamus tao,66,94
Solitary Tinamou,Tinamus solitarius,72,47
Black Tinamou,Tinamus osgoodi,20,1
Great Tinamou,Tinamus major,123,266
White-throated Tinamou,Tinamus guttatus,49,369
Highland Tinamou,Nothocercus bonapartei,48,19
Tawny-breasted Tinamou,Nothocercus julius,56,9
Hooded Tinamou,Nothocercus nigrocapillus,17,7
Berlepsch's Tinamou,Crypturellus berlepschi,16,0
Cinereous Tinamou,Crypturellus cinereus,279,374
Little Tinamou,Crypturellus soui,376,475
Tepui Tinamou,Crypturellus ptaritepui,2,0
Brown Tinamou,Crypturellus obsoletus,207,183
Undulated Tinamou,Crypturellus undulatus,208,1213
Pale-browed Tinamou,Crypturellus transfasciatus,37,148
Brazilian Tinamou,Crypturellus strigulosus,77,164
Grey-legged Tinamou,Crypturellus duidae,13,5
Red-legged Tinamou,Crypturellus erythropus,34,12
Yellow-legged Tinamou,Crypturellus noctivagus,56,79
Black-capped Tinamou,Crypturellus atrocapillus,31,52
Thicket Tinamou,Crypturellus cinnamomeus,56,46
Slaty-breasted Tinamou,Crypturellus boucardi,34,27
Choco Tinamou,Crypturellus kerriae,7,0
Variegated Tinamou,Crypturellus variegatus,80,100
Rusty Tinamou,Crypturellus brevirostris,13,0
Bartlett's Tinamou,Crypturellus bartletti,45,84
Small-billed Tinamou,Crypturellus parvirostris,102,82
Barred Tinamou,Crypturellus casiquiare,4,0
Tataupa Tinamou,Crypturellus tataupa,122,110
Red-winged Tinamou,Rhynchotus rufescens,87,187
Huayco Tinamou,Rhynchotus maculicollis,15,10
Taczanowski's Tinamou,Nothoprocta taczanowskii,7,1
Ornate Tinamou,Nothoprocta ornata,13,0
Chilean Tinamou,Nothoprocta perdicaria,13,3
Brushland Tinamou,Nothoprocta cinerascens,26,5
Andean Tinamou,Nothoprocta pentlandii,40,6
Curve-billed Tinamou,Nothoprocta curvirostris,52,0
White-bellied Nothura,Nothura boraquira,32,8
Lesser Nothura,Nothura minor,10,0
Darwin's Nothura,Nothura darwinii,20,7
Spotted Nothura,Nothura maculosa,78,27
Dwarf Tinamou,Taoniscus nanus,40,1
Elegant Crested Tinamou,Eudromia elegans,14,1
Quebracho Crested Tinamou,Eudromia formosa,10,0
Puna Tinamou,Tinamotis pentlandii,12,0
Patagonian Tinamou,Tinamotis ingoufi,1,0
Horned Screamer,Anhima cornuta,114,47
Northern Screamer,Chauna chavaria,19,1
Southern Screamer,Chauna torquata,104,73
Magpie Goose,Anseranas semipalmata,27,26
White-faced Whistling Duck,Dendrocygna viduata,157,54
Black-bellied Whistling Duck,Dendrocygna autumnalis,245,94
Spotted Whistling Duck,Dendrocygna guttata,7,2
West Indian Whistling Duck,Dendrocygna arborea,11,2
Fulvous Whistling Duck,Dendrocygna bicolor,59,10
Plumed Whistling Duck,Dendrocygna eytoni,23,5
Wandering Whistling Duck,Dendrocygna arcuata,27,14
Lesser Whistling Duck,Dendrocygna javanica,60,12
White-backed Duck,Thalassornis leuconotus,3,0
Cape Barren Goose,Cereopsis novaehollandiae,20,4
Brant Goose,Branta bernicla,276,46
Red-breasted Goose,Branta ruficollis,23,1
Nene,Branta sandvicensis,13,2
Canada Goose,Branta canadensis,619,1505
Barnacle Goose,Branta leucopsis,604,347
Cackling Goose,Branta hutchinsii,65,26
Bar-headed Goose,Anser indicus,69,22
Emperor Goose,Anser canagicus,7,0
Ross's Goose,Anser rossii,34,5
Snow Goose,Anser caerulescens,134,52
Greylag Goose,Anser anser,1038,2411
Swan Goose,Anser cygnoides,62,17
Taiga Bean Goose,Anser fabalis,95,29
Pink-footed Goose,Anser brachyrhynchus,421,151
Tundra Bean Goose,Anser serrirostris,147,38
Greater White-fronted Goose,Anser albifrons,580,211
Lesser White-fronted Goose,Anser erythropus,37,2
Coscoroba Swan,Coscoroba coscoroba,39,9
Black Swan,Cygnus atratus,49,19
Black-necked Swan,Cygnus melancoryphus,19,1
Mute Swan,Cygnus olor,589,224
Trumpeter Swan,Cygnus buccinator,74,14
Tundra Swan,Cygnus columbianus,252,52
